#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2022 05 03 12 00 00 1 3589.671
2022 05 03 11 45 00 1 3589.774
2022 05 03 11 30 00 1 3589.866
2022 05 03 11 15 00 1 3589.935
2022 05 03 11 00 00 1 3589.995
2022 05 03 10 45 00 1 3590.030
2022 05 03 10 30 00 1 3590.053
2022 05 03 10 15 00 1 3590.057
2022 05 03 10 00 00 1 3590.044
2022 05 03 09 45 00 1 3590.016
2022 05 03 09 30 00 1 3589.970
2022 05 03 09 15 00 1 3589.906
2022 05 03 09 00 00 1 3589.829
2022 05 03 08 45 00 1 3589.746
2022 05 03 08 30 00 1 3589.647
2022 05 03 08 15 00 1 3589.542
2022 05 03 08 00 00 1 3589.428
2022 05 03 07 45 00 1 3589.315
2022 05 03 07 30 00 1 3589.198
2022 05 03 07 15 00 1 3589.080
2022 05 03 07 00 00 1 3588.964
2022 05 03 06 45 00 1 3588.852
2022 05 03 06 30 00 1 3588.743
2022 05 03 06 15 00 1 3588.644
2022 05 03 06 00 00 1 3588.551
2022 05 03 05 45 00 1 3588.469
2022 05 03 05 30 00 1 3588.400
2022 05 03 05 15 00 1 3588.344
2022 05 03 05 00 00 1 3588.299
2022 05 03 04 45 00 1 3588.268
2022 05 03 04 30 00 1 3588.254
2022 05 03 04 15 00 1 3588.254
2022 05 03 04 00 00 1 3588.270
2022 05 03 03 45 00 1 3588.299
2022 05 03 03 30 00 1 3588.340
2022 05 03 03 15 00 1 3588.396
2022 05 03 03 00 00 1 3588.460
2022 05 03 02 45 00 1 3588.536
2022 05 03 02 30 00 1 3588.621
2022 05 03 02 15 00 1 3588.713
2022 05 03 02 00 00 1 3588.805
2022 05 03 01 45 00 1 3588.903
2022 05 03 01 30 00 1 3588.999
2022 05 03 01 15 00 1 3589.098
2022 05 03 01 00 00 1 3589.188
2022 05 03 00 45 00 1 3589.275
2022 05 03 00 30 00 1 3589.354
2022 05 03 00 15 00 1 3589.425
2022 05 03 00 00 00 1 3589.485
2022 05 02 23 45 00 1 3589.529
2022 05 02 23 30 00 1 3589.564
2022 05 02 23 15 00 1 3589.582
2022 05 02 23 00 00 1 3589.586
2022 05 02 22 45 00 1 3589.572
2022 05 02 22 30 00 1 3589.543
2022 05 02 22 15 00 1 3589.500
2022 05 02 22 00 00 1 3589.440
2022 05 02 21 45 00 1 3589.365
2022 05 02 21 30 00 1 3589.275
2022 05 02 21 15 00 1 3589.171
2022 05 02 21 00 00 1 3589.057
2022 05 02 20 45 00 1 3588.932
2022 05 02 20 30 00 1 3588.797
2022 05 02 20 15 00 1 3588.655
2022 05 02 20 00 00 1 3588.509
2022 05 02 19 45 00 1 3588.360
2022 05 02 19 30 00 1 3588.208
2022 05 02 19 15 00 1 3588.060
2022 05 02 19 00 00 1 3587.914
2022 05 02 18 45 00 1 3587.776
2022 05 02 18 30 00 1 3587.648
2022 05 02 18 15 00 1 3587.529
2022 05 02 18 00 00 1 3587.422
2022 05 02 17 45 00 1 3587.331
2022 05 02 17 30 00 1 3587.254
2022 05 02 17 15 00 1 3587.193
2022 05 02 17 00 00 1 3587.152
2022 05 02 16 45 00 1 3587.130
2022 05 02 16 30 00 1 3587.130
2022 05 02 16 15 00 1 3587.148
2022 05 02 16 00 00 1 3587.184
2022 05 02 15 45 00 1 3587.241
2022 05 02 15 30 00 1 3587.314
2022 05 02 15 15 00 1 3587.408
2022 05 02 15 00 00 1 3587.518
2022 05 02 14 45 00 1 3587.646
2022 05 02 14 30 00 1 3587.786
2022 05 02 14 15 00 1 3587.935
2022 05 02 14 00 00 1 3588.093
2022 05 02 13 45 00 1 3588.260
2022 05 02 13 30 00 1 3588.434
2022 05 02 13 15 00 1 3588.608
2022 05 02 13 00 00 1 3588.783
2022 05 02 12 45 00 1 3588.952
2022 05 02 12 30 00 1 3589.119
2022 05 02 12 15 00 1 3589.275
2022 05 02 12 00 00 1 3589.424
2022 05 02 11 45 00 1 3589.561
2022 05 02 11 30 00 1 3589.684
2022 05 02 11 15 00 1 3589.793
2022 05 02 11 00 00 1 3589.886
2022 05 02 10 45 00 1 3589.963
2022 05 02 10 30 00 1 3590.023
2022 05 02 10 15 00 1 3590.061
2022 05 02 10 00 00 1 3590.082
2022 05 02 09 45 00 1 3590.085
2022 05 02 09 30 00 1 3590.069
2022 05 02 09 15 00 1 3590.035
2022 05 02 09 00 00 1 3589.984
2022 05 02 08 45 00 1 3589.916
